ID,QUESTION,ANSWER,Generated Answer,Precision,Recall,F1
1,Define 'asexual reproduction',"Asexual reproduction is a type of reproductive process in which offspring are produced from one parent without the involvement of gametes (sex cells). In this process, the genetic material from two separate parents is combined to produce offspring that are genetically identical to both parents.","Asexual reproduction is a type of reproduction where an organism produces offspring that are genetically identical to itself, without the involvement of another individual. This process involves only one parent and does not require fertilization or the exchange of genetic material with another organism. Examples include budding, fragmentation, and spore formation in plants and animals. It allows for rapid population growth and is common in single-celled organisms and some simple multicellular organisms.",0.61,0.739,0.668
2,Identify the sort of cell division that is involved in asexual reproduction,"The cell division in asexual reproduction is mitosis, which produces an extra set of identical paired chromosomes.","Mitosis is the type of cell division involved in asexual reproduction. It results in two genetically identical daughter cells from a single parent cell, allowing for the production of offspring without the involvement of gametes or fertilization. This process is commonly seen in plants and some animals that reproduce asexually.",0.581,0.717,0.641
3,Outline the ideal environmental conditions for asexual reproduction and explain why these conditions are ideal for asexually reproducing organisms,"Stable and uniform environments with a good supply of resources provide ideal conditions for asexual reproduction. These environments are ideal for asexually reproducing organisms because organisms that are produced via asexual reproduction are clones of their parent already adapted to the stable environment. Since the parent is surviving in the ideal environment, the offspring will also be well suited to this environment, resulting in a large successful population for this organism. However, they will lack the genetic variation required for adaptation to changing conditions.","The ideal environmental conditions for asexual reproduction include stable temperatures between 20-30°C, high humidity (60-80%), and minimal light exposure. These conditions allow for optimal metabolic activity, cell division, and growth of the organism, making it easier to reproduce without the need for genetic recombination. The stability of these conditions also reduces stress on the organism, allowing it to focus energy on reproduction rather than survival. This environment enables asexually reproducing organisms to thrive and efficiently produce offspring.",0.604,0.641,0.622
4,List the key events in binary fission for bacteria,"The key events that happen in binary fission for bacteria goes as follows:

1. The circular DNA molecule is duplicated within the nucleoid. 
2. The cell grows until it has almost doubled in size. 
3. A new cell wall and membrane form between the separating chromosomes, dividing the cell into two relatively equal halves. 
4. These halves eventually separate, forming two identical daughter cells from the single parent cell.","Binary fission involves the following key events:

1. Replication of DNA: The bacterial cell replicates its DNA.
2. Increase in cell size: The cell grows and increases in size to accommodate the replicated DNA.
3. Formation of a constriction: A constriction forms in the center of the cell, separating the replicated DNA into two identical sets.
4. Division of the cell: The cell divides into two daughter cells, each containing an identical set of chromosomes.",0.695,0.697,0.696
5,What is the difference between a somatic cell and a gamete? Give an example of each,"Somatic cells are all the diploid cells in the body of an organism, apart from the sex cells (gametes). Examples of somatic cells include skin cells, muscle cells and nerve cells. Gametes are the haploid sex cells such as the egg/ovum and sperm cells, that combine in sexual reproduction. They are produced from germ cells by meiosis

","A somatic cell is any cell in the body that is not involved in reproduction, such as skin cells or muscle cells. In contrast, a gamete is a reproductive cell, specifically a sperm or egg cell that contains half the genetic material necessary for creating a new individual. An example of a somatic cell is a red blood cell, which carries oxygen throughout the body. An example of a gamete is an ovum (egg cell), which is produced by females and can be fertilized to form a zygote.",0.661,0.708,0.683
6,Explain the meaning of the term 'alternation of generations',The term ‘alternation of generations’ means the swapping between haploid (1n) and diploid (2n) stages in the life cycle of eukaryotes undergoing sexual reproduction. An example is the diploid mushroom fruiting body that produces haploid spores for the next stage.,"Alternation of generations refers to a life cycle pattern in which two distinct phases of an organism's life exist, often with different physical characteristics and reproductive strategies. In this process, one phase produces offspring that are genetically identical but morphologically different from themselves, while the other phase is responsible for producing offspring that are similar in form to their parents. This phenomenon is commonly observed in plants and some animal species, such as certain types of algae and fungi. It allows these organisms to adapt to changing environments through genetic variation.",0.512,0.524,0.518
7,Compare pollination in gymnosperm and angiosperm plants,"Both gymnosperms and angiosperms produce haploid male gametes contained inside pollen grains. 

The difference is in the way that cross-pollination occurs. All cone plants (gymnosperms) are wind pollinated, that is, they produce very lightweight pollen in great quantities on male cones and release it into the air to be carried by wind. By chance some will pollinate female cones of the same gymnosperm species. 

Most flowering plants (angiosperms) have adaptations for more reliable cross-pollination, often involving a symbiotic relationship with an animal. Insects (especially bees), birds and small mammals are attracted to the flowers by colour or scent. They get rewards of nectar or pollen and in the process carry pollen grains from one flower to the next. Some angiosperms are wind-pollinated but most have evolved the more efficient pollination partnership with an animal species.","Pollination in gymnosperms is typically anemophilous (wind-pollinated), where pollen is released from male cones and carried by wind to female cones for fertilization. In contrast, angiosperms exhibit a diverse range of pollination methods, including entomophily (insect-pollinated) and ornithophily (bird-pollinated), among others. Angiosperm flowers often have specialized structures such as petals, sepals, and nectaries to attract pollinators. This diversity in pollination strategies is a key factor contributing to the success of angiosperms over gymnosperms.",0.639,0.615,0.627
8,Classify the three groups of mammals based on reproductive strategies and give two examples for each group,"All mammals have fur and feed their young with milk. There are three groups based on reproductive strategies: 

1. placental mammals—female carries fetus inside her body, nourished through a placenta until fully developed (e.g. human, dog, lion, elephant and whale) 
2. marsupial mammals—fetus born at an early stage, complete their development in external pouch while suckling (e.g. kangaroo, koala, wombat and quokka) 
3. monotreme mammals—female lays eggs with leathery shells then protects them and feeds the young with milk after hatching (e.g. platypus and echidna)
","Based on their reproductive strategies, mammals can be classified into three groups:

**Group 1: Precocial Mammals**
These mammals have a relatively short gestation period and are able to walk or swim shortly after birth. Examples include sheep and deer.

**Group 2: Altricial Mammals**
These mammals have a longer gestation period and give birth to relatively undeveloped young that require extensive parental care. Examples include primates, such as humans and monkeys.

**Group 3: Intermediate Mammals**
These mammals have a moderate gestation period and give birth to young that are somewhat developed but still require some parental care. Examples include rodents, such as mice and rats.",0.562,0.558,0.56
9,"Distinguish between zygote, morula, blastocyst, gastrula, embryo and fetus","Zygote is the first stage after fertilisation, the diploid cell that results from fusion of a haploid egg and sperm. 

Morula is the next stage after the zygote undergoes mitosis to become two cells. The morula continues to divide until it consists of 16 cells and then enters the uterus. 

Blastocyst is the next stage when the morula has divided by mitosis into many smaller cells that are organised into two layers. 

Gastrula develops from the blastocyst when three layers of cells have formed. 

Embryo is the next stage until major organs have developed. In humans this stage is from three to eight weeks after fertilisation (or five to 10 weeks after the last menstrual period). 

Fetus is the final stage of development when all of the major organs have developed. This stage lasts until birth.","A zygote is a single fertilized cell resulting from the union of an egg and sperm. A morula forms when the zygote undergoes several cleavages, becoming a compact cluster of cells. The blastocyst stage follows, where the morula differentiates into two distinct groups of cells: an inner cell mass and an outer trophoblast layer. The gastrula stage marks the beginning of embryonic development, followed by the embryo, which is characterized by the formation of three primary germ layers, and finally, the fetus, which develops from the embryo after approximately 6 weeks of gestation.",0.682,0.648,0.664
10,Where would you find an acrosome and what is its function?,"The acrosome is a specialized structure at the front (or anterior) of a sperm cell. It contains enzymes called acroplasms or hyaluronidases, which break down the outer layers around an egg (oocyte) to facilitate fertilization.","The acrosome is a cap-like structure found at the tip of a sperm cell. Its primary function is to release enzymes that help break down the outer layer of the egg during fertilization, allowing the sperm to penetrate and fuse with the egg. This process is crucial for successful fertilization and the initiation of embryonic development. The acrosome contains hyaluronidase, an enzyme that helps dissolve the jelly-like coating surrounding the egg.",0.718,0.748,0.733
11,Where would you find a follicle and what is its function?,"A follicle is a group of cells in the ovary that surround an oocyte as it matures. The follicle provides protection and nutrition to the egg, then ruptures to release the egg through the surface of the ovary for ovulation.","A follicle is typically found in the skin or on the scalp, where it surrounds and protects a hair shaft. Its primary function is to produce sebum, an oily substance that helps to moisturize and protect the surrounding skin and hair. The follicle also provides a protective environment for the hair growth process. In females, follicles are also responsible for producing eggs in the ovaries.",0.621,0.664,0.642
12,Compare reproduction in placental and marsupial mammals,"Both placentals and marsupials are viviparous, that is they bear live young. The difference is that marsupial young are born at a very early stage of their development before they are fully formed. The young must crawl up into the maternal pouch, attach to a nipple and complete their development in the external pouch. The mother can then start another cycle of reproduction and does not have the burden of growing the young in her uterus. Placental females nourish the fetus inside the uterus until it is fully formed. Some placental young can start moving around independently within minutes after birth (e.g. calves, lambs and foals). The young are better protected during fetal development, but the mother is more restricted by the period of gestation and cannot breed again until after the birth.","Reproduction in placental mammals involves a longer gestation period, with the fetus developing inside the uterus and receiving nutrients through the umbilical cord. In contrast, marsupials have a shorter gestation period, with the young born after a relatively short development period, then completing their growth inside a pouch on the mother's body where they continue to develop and nurse. This difference in reproductive strategy is due to the unique developmental characteristics of each group. Marsupials give birth to underdeveloped offspring that are more like embryos than fully formed mammals.",0.64,0.617,0.628
13,"Explain how two glands positioned in the brain, the hypothalamus and the pituitary, can control the reproductive organs","The hypothalamus acts as a master control centre, receiving information by nerve messages and by monitoring the blood as it flows through this area of the brain. It maintains homeostatic balance and reproductive processes for the body by sending out nerve messages and/or releasing hormones to other appropriate glands. The pituitary is thus controlled by messages from the hypothalamus for release of its hormones to act on target cells in the reproductive system. Hormones from the pituitary gland travel in the blood to their targets such as the mammary glands, the ovaries and testes. Some pituitary hormones act directly and others stimulate release of local hormones that act on their target cells by diffusing through the extracellular fluid.","The hypothalamus and pituitary glands work together to regulate the reproductive system by controlling the production of hormones that stimulate or inhibit the release of sex hormones from the gonads. The hypothalamus secretes hormones that either stimulate or suppress the pituitary gland's release of follicle-stimulating hormone (FSH) and luteinizing hormone (LH), which in turn regulate the reproductive organs' function, such as ovulation and sperm production. This feedback loop allows for precise control over the reproductive cycle. The hypothalamus and pituitary glands work together to maintain a delicate balance of hormones that support or suppress fertility.",0.652,0.627,0.639
14,Identify the steps of artificial selection that would lead to the production of large corn cobs,"The steps of artificial selection that would lead to production of large corn cobs include:

1. Select corn plants with the largest cobs for cross-pollination. 
2. Select offspring plants with largest cobs for cross-pollination. 
3. Continue this process until the population reliably produces large cobs.","Farmers would first select and breed corn plants with larger cobs in a process called phenotypic selection. They would then allow these plants to produce seeds, which would be harvested and replanted to propagate the desired trait. Over multiple generations, this selective breeding would lead to an increase in the average size of the corn cobs as farmers continue to select for the largest individuals. This process would eventually result in the production of large corn cobs through artificial selection.",0.604,0.637,0.62
